一,,,
one or 1,1,one,
二,,,
two or 2,2,two,
三,,,
three or 3,3,three,
四,,,
four or 4,4,four,
五,,,
five or 5,5,five,
六,,,
six or 6,6,six,
七,,,
seven or 7,7,seven,
八,,,
eight or 8,8,eight,
九,,,
nine or 9,9,nine,
十,,,
ten or 10,10,ten,
一 pronunciation,,,
いち,,,
二 pronunciation,,,
に,,,
三 pronunciation,,,
さん,,,
四 pronunciation,,,
し or よん,し,よん,
五 pronunciation,,,
ご,,,
六 pronunciation,,,
ろく,,,
七 pronunciation,,,
しち or なな,しち,なな,
八 pronunciation,,,
はち,,,
九 pronunciation,,,
きゅう,,,
十 pronunciation,,,
じゅう,,,
元気,,,
full of spirit; healthy,healthy,full of spirit,
田中,,,
Tanaka,,,
学生,,,
student,,,
木,,,
tree,,,
さん,,,
polite marker,,,
歳,,,
years old,,,
二十,,,
twenty or 20,20,twenty,
ラジオ,,,
radio,,,
初めまして,,,
nice to meet you,,,
宜しくお願いします,,,
looking forward to it; please treat me well,please treat me well,looking forward to it,
元気 pronunciation,,,
げんき,,,
田中 pronunciation,,,
たなか,,,
学生 pronunciation,,,
がくせい,,,
木 pronunciation,,,
き,,,
さん pronunciation,,,
さん,,,
歳 pronunciation,,,
さい,,,
二十 pronunciation,,,
にじゅう,,,
ラジオ pronunciation,,,
らじお,,,
初めまして pronunciation,,,
はじめまして,,,
宜しくお願いします pronunciation,,,
よろしくおねがいします,,,
あなた,,,
you,,,
男,,,
man,,,
女,,,
woman,,,
日本,,,
Japan,,,
日本人,,,
Japanese person,,,
外国人,,,
foreigner,,,
日本語,,,
Japanese language,,,
大丈夫,,,
okay,,,
ギター,,,
guitar,,,
子供,,,
child,,,
あなた pronunciation,,,
あなた,,,
男 pronunciation,,,
おとこ,,,
女 pronunciation,,,
おんな,,,
日本 pronunciation,,,
にほん or にっぽん,にほん,にっぽん,
日本人 pronunciation,,,
にほんじん or にっぽんじん,にほんじん,にっぽんじん,
外国人 pronunciation,,,
がいこくじん,,,
日本語 pronunciation,,,
にほんご,,,
大丈夫 pronunciation,,,
だいじょうぶ,,,
ギター pronunciation,,,
ぎたー,ギター,,
子供 pronunciation,,,
こども,,,
料理,,,
cousine; cooking, cooking,cousine,
食べ物,,,
food,,,
果物,,,
fruit,,,
卵,,,
egg,,,
ラーメン,,,
ramen,,,
寿司,,,
sushi,,,
丼,,,
donburi; porcelain bowl,porcelain bowl,donburi,
天ぷら,,,
tempura,,,
味噌,,,
miso; fermented soybean condiment,fermented soybean condiment,miso,
餃子,,,
gyoza; pot sticker,pot sticker,gyoza,
料理 pronounciation,,,
りょうり,,,
食べ物 pronunciation,,,
たべもの,,,
果物 pronunciation,,,
くだもの,,,
卵 pronunciation,,,
たまご,,,
ラーメン pronunciation,,,
らーめん,ラーメン,,
寿司 pronunciation,,,
すし,,,
丼 pronunciation,,,
どんぶり,,,
天ぷら pronunciation,,,
てんぷら,,,
味噌 pronunciation,,,
みそ,,,
餃子 pronunciation,,,
ぎょざ,,,
お皿,,,
plate,,,
ご飯,,,
